,Object Number,Is Highlight,Is Public Domain,Object ID,Object Name,Medium,Department,Culture,Object Begin Date,Object End Date,Artist Nationality,Artist_Nationality_new
143,07.228.71,False,False,547202,"Figurine, seated woman","Limestone, organic material, paint, malachite",Egyptian Art,,-3450,-3300,,
144,07.228.110,False,False,547248,"Beaker, white cross-lined ware","Pottery, paint",Egyptian Art,,-3900,-3650,,
145,36.3.205,False,True,549075,Club,Wood,Egyptian Art,,-1473,-1458,,
146,"31.3.51a, b",False,False,556721,"Basket, coil, lid",Grasses,Egyptian Art,,-2124,-2124,,
147,17.10.324,False,False,563318,Jar Label,"Pottery and ink, paint",Egyptian Art,,-1390,-1390,,
148,17.10.324,False,False,563318,Jar Label,"Pottery and ink, paint",Egyptian Art,,-1390,-1390,,American
149,17.10.898,False,False,563892,"Jar Label, meat","Pottery and ink, paint",Egyptian Art,,-1390,-1390,,Italian
150,33.1.185g,False,False,564519,Relief fragment,Granite,Egyptian Art,,-1981,-1640,,
151,20.3.203qqqq,False,False,565027,"Linen, from Wah's Mummy",Linen,Egyptian Art,,-1981,-1975,,Italian
152,1973.565.2,False,False,623826,Print,Commercial printing in color,Drawings and Prints,,1972,1972,American,American
153,35.85.19,False,False,625312,Print,Engraving,Drawings and Prints,,1841,1851,Italian|Italian|Italian|Italian|Italian,Canadian
154,"Burdick 324, R311.38",False,False,632372,Photograph,Albumen print (glossy finish),Drawings and Prints,,1936,1936,,American
155,22.73.3-78,False,True,634357,Print,Chiaroscuro woodcut from four blocks printed in orange,Drawings and Prints,,1585,1585,Italian|Italian|German,American
156,"Burdick 328, R414-5.81",False,False,634643,"Print, baseball card",Commercial color lithograph,Drawings and Prints,,1951,1951,American,Scottish
157,"Burdick 339, V401.145",False,False,638012,Print,Photolithograph,Drawings and Prints,,1940,1940,Canadian,Austrian
158,2014.642,False,False,638616,Photograph,Gelatin silver print,Photographs,,1970,1970,American,"American, born Russia"
159,"Burdick 328, R414-8.11",False,False,642712,"Baseball card, print",Commercial color lithograph,Drawings and Prints,,1954,1954,American,American
160,58.549.202,False,False,646748,Print,Etching and engraving,Drawings and Prints,,1795,1795,"Scottish|British|British, Scottish|British|British",American
161,WW.812,False,False,650909,Print,Color lithograph,Drawings and Prints,,1912,1912,Austrian,
162,1983.1225.4,False,False,651579,Print,Drypoint,Drawings and Prints,,1900,1900,"American, born Russia",Mexican
163,2015.135,False,False,651818,Photograph,Gelatin silver print,Photographs,,1961,1961,American,Italian
164,63.350.219.245.1004,False,False,655098,Photograph,Albumen photograph,Drawings and Prints,,1890,1890,American,German
165,SL.6.2016.88.1,False,False,656878,,Oil and tape on canvas,Modern and Contemporary Art,,1941,1941,,American
166,30.95.4,False,False,656909,Print,Woodcut,Drawings and Prints,,1921,1931,Mexican,
167,21.15.2bis(16),False,True,660182,Books Prints Ornament & Architecture,Woodcut,Drawings and Prints,,1554,1554,Italian|British,
168,54.90.1453,False,False,666262,Print,Hand-colored lithograph with tint stone,Drawings and Prints,,1851,1851,German|American|American|American,
169,2015.186,False,False,670640,Photograph; Photomicrograph,Gelatin silver print,Photographs,,1890,1929,American,
171,52.541.1(22),False,True,683016,Print,Lithograph,Drawings and Prints,,1870,1890,,
172,63.350.307.39.4.9,False,False,684096,Print,Commercial color lithograph,Drawings and Prints,,1940,1949,,
173,63.350.307.34.23,False,False,684443,Print,Commercial color lithograph,Drawings and Prints,,1900,1935,,
174,2011.604.1.4058,False,True,693616,Kylix fragment,Terracotta,Greek and Roman Art,"Greek, Attic",-500,-450,,
175,28.99.351,False,True,695260,Fragment,"Glass, ceramic",Medieval Art,European or Middle Eastern,1125,1275,,
176,17.3.756–1631,False,False,701306,Print,Etching and stipple,Drawings and Prints,,1782,1782,,
177,2016.97,False,True,702996,Photograph,Daguerreotype,Photographs,,1842,1842,,
178,2011.604.1.5352,False,True,703467,Kylix fragment,Terracotta,Greek and Roman Art,"Greek, Attic",-530,-450,,
179,"Burdick 324, R314.117",False,False,705128,"Baseball card, print",Photolithograph,Drawings and Prints,,1936,1936,,
180,"Burdick 324, R313.12",False,False,705189,"Baseball card, print",Photolithograph,Drawings and Prints,,1936,1936,,
181,Burdick 324(86),False,False,708376,"Baseball card, print",Commercial Lithographs,Drawings and Prints,,1936,1936,,
182,2011.604.1.6537,False,True,709728,Kylix fragment,Terracotta,Greek and Roman Art,"Greek, Attic",-530,-450,,
183,17.32.1852,False,False,727173,Print,Engraving,Drawings and Prints,,1530,1550,,
184,23.112.2370,False,False,727686,Drawing,Graphite and red crayon  on wove paper with perforated linen tape adhered to left edge for binding,Drawings and Prints,,1884,1884,,
185,47.8.1(6),False,False,728103,Prints Ornament & Architecture,Etching,Drawings and Prints,,1545,1545,,
186,2011.604.2.310,False,True,728820,Column-krater fragment,Terracotta,Greek and Roman Art,"Greek, Attic",-530,-400,,
187,46.46.299,False,True,729600,Print,Photo-relief and letterpress on buff paper,Drawings and Prints,,1895,1905,,
188,63.350.221.269.45,False,False,729779,Print,Commercial color lithograph,Drawings and Prints,,1887,1887,,
189,1994.264.110.54,False,False,732391,Ephemera,Painted metal,Photographs,,1960,1975,,
190,2011.604.2.1004,False,True,733407,Oinochoe fragment,Terracotta,Greek and Roman Art,"Greek, Attic",-530,-300,,
191,59.533.82,False,True,736330,Print,Hand-colored etching,Drawings and Prints,,1784,1784,,
192,32.46.7(50),False,False,738416,Book Print Ornament & Architecture,Design: Lithography,Drawings and Prints,,1800,1900,,
193,2011.604.2.2328,False,True,740176,Skyphos fragment,Terracotta,Greek and Roman Art,"Greek, Attic",-530,-300,,
194,"Burdick 346, U1.139",False,False,751829,"Print, baseball",Printed matchbook,Drawings and Prints,,1934,1934,,
195,36.12.8-,False,True,754604,Print,Lithograph on newsprint; third state of three (Delteil),Drawings and Prints,,1865,1865,,
196,2018.62.28,False,True,771069,Vase,Bone china,European Sculpture and Decorative Arts,"British, Stoke-on-Trent, Staffordshire",1872,1872,,
197,36.30.294,False,False,777496,Dish,Iron,Ancient Near Eastern Art,,0,0,,
198,2016.402.460,False,False,778279,"Baseball card, print",Commercial Color Lithograph,Drawings and Prints,,1978,1978,,
199,63.350.329.701-1.16,False,False,779306,Trade card,Commercial color lithograph,Drawings and Prints,,1953,1953,,
200,63.350.244.87.182,False,False,785013,Print; ephemera,Commercial color lithograph,Drawings and Prints,,1942,1942,,
201,1980.1119(1),False,False,813925,Print,Sugar-lift aquatint with roulette,Drawings and Prints,,1979,1979,,
202,1986.1180.249,False,False,820618,Print,Engraving,Drawings and Prints,,1525,1535,,
203,67.744.50,False,False,824428,Print,Etching,Drawings and Prints,,1875,1885,,
